CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
1/2/2022,23:00,MANHATTAN,10018,40.75469,-73.99536,"(40.75469, -73.99536)",WEST 36 STREET,9 AVENUE,,0,0,0,0,0,0,0,0,Obstruction/Debris,Driver Inexperience,,,,4491705,Station Wagon/Sport Utility Vehicle,Sedan,,,
1/2/2022,21:00,BRONX,10462,40.852425,-73.86873,"(40.852425, -73.86873)",BRONX PARK EAST,BRADY AVENUE,,4,0,0,0,0,0,4,0,Turning Improperly,Unspecified,,,,4491615,Sedan,Sedan,,,
1/2/2022,15:41,QUEENS,11411,40.696957,-73.73514,"(40.696957, -73.73514)",,,115-70    224 STREET,0,0,0,0,0,0,0,0,Unspecified,,,,,4491751,Sedan,,,,
1/2/2022,0:51,,,,,,Vandervoort street,cherry street,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4491368,Sedan,Sedan,,,
1/2/2022,14:30,,,40.827557,-73.914764,"(40.827557, -73.914764)",TELLER AVENUE,,,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,4491665,,,,,
1/2/2022,0:32,,,,,,E 163 STREET AND SOUTHERN BOULEV,,,1,0,0,0,0,0,1,0,Unsafe Speed,Unspecified,,,,4491395,Sedan,Sedan,,,
1/2/2022,22:20,BRONX,10461,40.835827,-73.828804,"(40.835827, -73.828804)",EDISON AVENUE,BAISLEY AVENUE,,2,0,0,0,0,0,2,0,Failure to Yield Right-of-Way,Unspecified,Unspecified,,,4491605,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,,
1/2/2022,13:40,QUEENS,11412,40.68645,-73.761185,"(40.68645, -73.761185)",120 AVENUE,FARMERS BOULEVARD,,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,,,,4491711,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
1/2/2022,17:00,QUEENS,11368,40.73758,-73.856834,"(40.73758, -73.856834)",,,59-21     CALLOWAY STREET,0,0,0,0,0,0,0,0,Unspecified,,,,,4491840,Station Wagon/Sport Utility Vehicle,,,,
1/2/2022,16:10,,,40.782547,-73.80285,"(40.782547, -73.80285)",160 STREET,,,0,0,0,0,0,0,0,0,Lane Marking Improper/Inadequate,Unspecified,,,,4491519,Sedan,Station Wagon/Sport Utility Vehicle,,,
1/2/2022,15:53,QUEENS,11434,40.664326,-73.78007,"(40.664326, -73.78007)",145 ROAD,158 STREET,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4491549,Station Wagon/Sport Utility Vehicle,Sedan,,,
1/2/2022,14:40,,,40.703857,-73.91851,"(40.703857, -73.91851)",STOCKHOLM STREET,,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,4491658,Sedan,Sedan,,,
1/2/2022,13:53,MANHATTAN,10035,40.804375,-73.93742,"(40.804375, -73.93742)",EAST 125 STREET,LEXINGTON AVENUE,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,4491505,Station Wagon/Sport Utility Vehicle,Sedan,,,
1/2/2022,10:00,,,,,,100 STREET,37 road,,0,0,0,0,0,0,0,0,Unspecified,,,,,4491764,Station Wagon/Sport Utility Vehicle,,,,
1/2/2022,20:06,QUEENS,11434,40.677673,-73.76277,"(40.677673, -73.76277)",FARMERS BOULEVARD,DENIS STREET,,1,0,0,0,0,0,1,0,Passing or Lane Usage Improper,Unspecified,,,,4491638,Sedan,Station Wagon/Sport Utility Vehicle,,,
1/2/2022,21:00,QUEENS,11421,40.686928,-73.85314,"(40.686928, -73.85314)",89 STREET,ATLANTIC AVENUE,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4491812,Station Wagon/Sport Utility Vehicle,,,,
1/2/2022,1:10,BROOKLYN,11233,40.676342,-73.910934,"(40.676342, -73.910934)",ATLANTIC AVENUE,ROCKAWAY AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4491433,Sedan,Sedan,,,
1/2/2022,17:30,QUEENS,11106,40.767193,-73.93759,"(40.767193, -73.93759)",,,32-50     VERNON BOULEVARD,1,0,1,0,0,0,0,0,Unspecified,,,,,4491591,Sedan,,,,
1/2/2022,11:50,,,40.75219,-73.99347,"(40.75219, -73.99347)",WEST 34 STREET,,,0,0,0,0,0,0,0,0,Other Vehicular,Turning Improperly,,,,4491932,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
1/2/2022,19:20,BRONX,10457,40.85584,-73.89584,"(40.85584, -73.89584)",,,2268      WEBSTER AVENUE,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4491864,Station Wagon/Sport Utility Vehicle,,,,
1/2/2022,14:15,BROOKLYN,11230,40.616318,-73.95973,"(40.616318, -73.95973)",,,1376      EAST 15 STREET,0,0,0,0,0,0,0,0,Unspecified,,,,,4491672,Station Wagon/Sport Utility Vehicle,,,,
1/2/2022,1:22,BROOKLYN,11223,40.590984,-73.97569,"(40.590984, -73.97569)",,,2911      86 STREET,1,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4491810,Sedan,E-Scooter,,,
1/2/2022,9:21,BROOKLYN,11219,40.62916,-74.01144,"(40.62916, -74.01144)",FORT HAMILTON PARKWAY,68 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4491479,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
1/2/2022,5:40,BROOKLYN,11207,40.656693,-73.89464,"(40.656693, -73.89464)",DE WITT AVENUE,LOUISIANA AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4491559,Sedan,Sedan,,,
1/2/2022,7:00,QUEENS,11368,40.755394,-73.86918,"(40.755394, -73.86918)",99 STREET,34 AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4491914,Station Wagon/Sport Utility Vehicle,Sedan,,,
1/2/2022,18:15,MANHATTAN,10035,40.80467,-73.93219,"(40.80467, -73.93219)",EAST 128 STREET,2 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4491664,Sedan,Station Wagon/Sport Utility Vehicle,,,
1/2/2022,18:25,,,40.663124,-73.9509,"(40.663124, -73.9509)",NOSTRAND AVENUE,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4491859,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
1/2/2022,0:45,QUEENS,11413,40.66239,-73.75936,"(40.66239, -73.75936)",,,145-77    220 STREET,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4491374,Station Wagon/Sport Utility Vehicle,,,,
1/2/2022,13:35,BROOKLYN,11238,40.683037,-73.96478,"(40.683037, -73.96478)",FULTON STREET,WASHINGTON AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4491532,Sedan,Sedan,,,
1/2/2022,8:30,,,40.61069,-74.1184,"(40.61069, -74.1184)",STATEN ISLAND EXPRESSWAY,,,1,0,0,0,0,0,1,0,Brakes Defective,Unspecified,,,,4491539,Pick-up Truck,Station Wagon/Sport Utility Vehicle,,,
1/2/2022,1:25,,,40.68714,-73.80801,"(40.68714, -73.80801)",VAN WYCK EXPWY,,,1,0,0,0,0,0,1,0,Unsafe Speed,Unspecified,,,,4491566,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
1/2/2022,18:15,MANHATTAN,10017,40.757286,-73.97812,"(40.757286, -73.97812)",WEST 48 STREET,5 AVENUE,,1,0,1,0,0,0,0,0,Unspecified,,,,,4491621,Sedan,,,,
1/2/2022,10:35,BRONX,10475,40.87945,-73.83315,"(40.87945, -73.83315)",,,2107      NEW ENGLAND THRUWAY,3,0,0,0,0,0,3,0,Following Too Closely,Unspecified,,,,4491489,Sedan,Van,,,
1/2/2022,19:00,MANHATTAN,10017,40.751854,-73.97367,"(40.751854, -73.97367)",,,694       3 AVENUE,0,0,0,0,0,0,0,0,Unspecified,,,,,4491955,Sedan,,,,
1/2/2022,0:30,BROOKLYN,11237,40.704662,-73.92891,"(40.704662, -73.92891)",,,1081      FLUSHING AVENUE,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4491508,Station Wagon/Sport Utility Vehicle,,,,
1/2/2022,3:30,,,40.656593,-73.857635,"(40.656593, -73.857635)",BELT PARKWAY,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,,,,,4491565,Sedan,,,,
1/2/2022,7:10,MANHATTAN,10011,40.745293,-73.9985,"(40.745293, -73.9985)",WEST 23 STREET,8 AVENUE,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,4491603,Sedan,,,,
1/2/2022,15:50,,,40.768475,-73.809494,"(40.768475, -73.809494)",155 STREET,,,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4491518,Sedan,,,,
1/2/2022,16:10,,,40.585342,-73.94157,"(40.585342, -73.94157)",BELT PARKWAY,,,0,0,0,0,0,0,0,0,Reaction to Uninvolved Vehicle,Following Too Closely,Following Too Closely,Following Too Closely,,4491662,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,Sedan,
1/2/2022,10:15,QUEENS,11426,40.7432,-73.71935,"(40.7432, -73.71935)",UNION TURNPIKE,251 STREET,,0,1,0,0,0,0,0,1,Illnes,,,,,4491477,Sedan,,,,
1/2/2022,15:36,BROOKLYN,11217,40.68442,-73.97839,"(40.68442, -73.97839)",ATLANTIC AVENUE,4 AVENUE,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,4491592,Tanker,Station Wagon/Sport Utility Vehicle,,,
1/2/2022,19:55,QUEENS,11368,40.749966,-73.861755,"(40.749966, -73.861755)",104 STREET,ROOSEVELT AVENUE,,0,0,0,0,0,0,0,0,,,,,,4491938,,,,,
1/2/2022,10:59,,,40.7605,-73.95699,"(40.7605, -73.95699)",FDR DRIVE,,,2,0,0,0,0,0,2,0,Passing or Lane Usage Improper,Unspecified,,,,4491579,Sedan,Station Wagon/Sport Utility Vehicle,,,
1/2/2022,21:50,MANHATTAN,10001,40.750713,-73.99082,"(40.750713, -73.99082)",,,431       7 AVENUE,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,4491726,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
1/2/2022,6:31,QUEENS,11379,40.71255,-73.897194,"(40.71255, -73.897194)",,,63-98     METROPOLITAN AVENUE,0,0,0,0,0,0,0,0,Fell Asleep,Unspecified,Unspecified,Unspecified,,4491873,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,
1/2/2022,14:00,MANHATTAN,10014,40.73544,-74.00395,"(40.73544, -74.00395)",,,66        PERRY STREET,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Traffic Control Disregarded,,,,4491683,Station Wagon/Sport Utility Vehicle,Bike,,,
1/2/2022,19:23,,,40.83829,-73.930016,"(40.83829, -73.930016)",MAJOR DEEGAN EXPRESSWAY,,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,Unspecified,,,4491668,Station Wagon/Sport Utility Vehicle,Sedan,Station Wagon/Sport Utility Vehicle,,
1/2/2022,4:25,,,40.743767,-73.83748,"(40.743767, -73.83748)",VAN WYCK EXPWY,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4491411,Sedan,,,,
1/2/2022,16:43,,,,,,ROCKAWAY BOULEVARD,BROOKVILLE BOULEVARD,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified,4491550,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,Sedan,Sedan
1/2/2022,10:23,,,40.700737,-73.99014,"(40.700737, -73.99014)",BROOKLYN BRIDGE,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,Unspecified,,,4491819,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,,
1/2/2022,11:16,QUEENS,11368,40.73758,-73.856834,"(40.73758, -73.856834)",,,59-21     CALLOWAY STREET,0,0,0,0,0,0,0,0,Unspecified,,,,,4491842,Station Wagon/Sport Utility Vehicle,,,,
1/2/2022,6:55,QUEENS,11372,40.74744,-73.885796,"(40.74744, -73.885796)",80 STREET,ROOSEVELT AVENUE,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,4491761,Sedan,,,,
1/2/2022,22:40,QUEENS,11432,40.707508,-73.79694,"(40.707508, -73.79694)",,,164-17    89 AVENUE,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,4491645,Sedan,,,,
1/2/2022,4:30,QUEENS,11434,40.666286,-73.77029,"(40.666286, -73.77029)",,,144-66    BREWER BOULEVARD,0,0,0,0,0,0,0,0,Fell Asleep,Unspecified,,,,4491376,Sedan,Sedan,,,
1/2/2022,12:24,BRONX,10458,40.852875,-73.88854,"(40.852875, -73.88854)",,,621       EAST 183 STREET,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4491679,Sedan,Sedan,,,
1/2/2022,13:50,,,40.57089,-74.14791,"(40.57089, -74.14791)",ARTHUR KILL ROAD,,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,4491544,Station Wagon/Sport Utility Vehicle,Sedan,,,
1/2/2022,16:30,BROOKLYN,11235,40.58317,-73.953445,"(40.58317, -73.953445)",EMMONS AVENUE,EAST 15 STREET,,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,4491578,,,,,
1/2/2022,17:18,BROOKLYN,11236,40.64503,-73.91998,"(40.64503, -73.91998)",RALPH AVENUE,CLARENDON ROAD,,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,4491619,Sedan,,,,
1/2/2022,0:01,,,40.795322,-73.929825,"(40.795322, -73.929825)",FDR DRIVE,,,1,0,0,0,0,0,1,0,Pavement Defective,Following Too Closely,Following Too Closely,Following Too Closely,,4491502,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan,
1/2/2022,23:40,BROOKLYN,11233,40.67619,-73.9081,"(40.67619, -73.9081)",EASTERN PARKWAY,ATLANTIC AVENUE,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4491796,Sedan,,,,
1/2/2022,19:30,BROOKLYN,11209,40.62578,-74.02416,"(40.62578, -74.02416)",80 STREET,5 AVENUE,,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,4491583,Sedan,,,,
1/2/2022,10:20,QUEENS,11433,40.69401,-73.77864,"(40.69401, -73.77864)",SAYRES AVENUE,173 STREET,,2,0,0,0,0,0,2,0,Failure to Keep Right,Unspecified,,,,4491648,Station Wagon/Sport Utility Vehicle,Sedan,,,
1/2/2022,10:35,BROOKLYN,11210,40.627632,-73.95383,"(40.627632, -73.95383)",,,926       EAST 23 STREET,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4491484,Sedan,,,,
1/2/2022,22:20,QUEENS,11373,40.74521,-73.86937,"(40.74521, -73.86937)",,,94-42     43 AVENUE,0,0,0,0,0,0,0,0,Unspecified,,,,,4491531,Station Wagon/Sport Utility Vehicle,,,,
1/2/2022,5:10,BROOKLYN,11215,40.670265,-73.99763,"(40.670265, -73.99763)",HAMILTON AVENUE,14 STREET,,1,0,0,0,0,0,1,0,Unspecified,,,,,4491467,Sedan,,,,
1/2/2022,14:30,,,40.60301,-74.016884,"(40.60301, -74.016884)",BELT PARKWAY,,,0,0,0,0,0,0,0,0,Reaction to Uninvolved Vehicle,Following Too Closely,,,,4491663,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
1/2/2022,22:40,BROOKLYN,11207,40.65753,-73.89797,"(40.65753, -73.89797)",LINDEN BOULEVARD,SNEDIKER AVENUE,,0,0,0,0,0,0,0,0,Reaction to Uninvolved Vehicle,Unspecified,,,,4491562,Sedan,Station Wagon/Sport Utility Vehicle,,,
1/2/2022,23:30,,,40.69168,-73.999344,"(40.69168, -73.999344)",BROOKLYN QUEENS EXPRESSWAY,,,0,0,0,0,0,0,0,0,Reaction to Uninvolved Vehicle,Following Too Closely,,,,4491822,PK,Station Wagon/Sport Utility Vehicle,,,
1/2/2022,19:00,,,40.828106,-73.88568,"(40.828106, -73.88568)",SHERIDAN EXPRESSWAY,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4491740,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
1/2/2022,15:52,BROOKLYN,11225,40.663258,-73.96121,"(40.663258, -73.96121)",,,40        EMPIRE BOULEVARD,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4491858,Sedan,Station Wagon/Sport Utility Vehicle,,,
1/2/2022,18:45,QUEENS,11427,40.73346,-73.735466,"(40.73346, -73.735466)",WINCHESTER BOULEVARD,HILLSIDE AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,,,,4491551,Sedan,,,,
1/2/2022,9:20,,,,,,VANDAM STREET,BORDEN AVENUE,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4491517,Sedan,Box Truck,,,
1/2/2022,23:41,BROOKLYN,11215,40.670887,-73.98985,"(40.670887, -73.98985)",,,224       9 STREET,1,0,0,0,0,0,0,0,Unspecified,,,,,4491593,E-Bike,,,,
1/2/2022,18:00,BROOKLYN,11203,40.66167,-73.93727,"(40.66167, -73.93727)",TROY AVENUE,MAPLE STREET,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,4491509,Sedan,Sedan,,,
1/2/2022,2:06,QUEENS,11428,40.720303,-73.732346,"(40.720303, -73.732346)",JAMAICA AVENUE,222 STREET,,0,0,0,0,0,0,0,0,Unsafe Speed,Unspecified,Unspecified,,,4491414,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan,,
1/2/2022,16:30,,,,,,,,61        EAST DRIVE,1,0,0,0,0,0,0,0,Driver Inexperience,Unspecified,,,,4491667,Carriage,E-Scooter,,,
1/2/2022,18:10,BRONX,10468,40.862755,-73.901085,"(40.862755, -73.901085)",JEROME AVENUE,EAST FORDHAM ROAD,,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,4491888,,,,,
1/2/2022,20:57,QUEENS,11106,40.75582,-73.93259,"(40.75582, -73.93259)",37 AVENUE,29 STREET,,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,4491601,Sedan,,,,
1/2/2022,2:10,,,40.60567,-74.030945,"(40.60567, -74.030945)",BELT PARKWAY,,,0,0,0,0,0,0,0,0,Alcohol Involvement,,,,,4491692,Station Wagon/Sport Utility Vehicle,,,,
1/2/2022,12:00,STATEN ISLAND,10308,40.547348,-74.14158,"(40.547348, -74.14158)",GREENCROFT LANE,GREENCROFT AVENUE,,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Unspecified,,,,4491547,Station Wagon/Sport Utility Vehicle,Pick-up Truck,,,
1/2/2022,1:22,BRONX,10467,40.882217,-73.88046,"(40.882217, -73.88046)",EAST GUN HILL ROAD,DEKALB AVENUE,,0,1,0,1,0,0,0,0,Unspecified,,,,,4491529,AMBULANCE,,,,
1/2/2022,8:11,BRONX,10459,40.820187,-73.890686,"(40.820187, -73.890686)",HUNTS POINT AVENUE,BRUCKNER BOULEVARD,,2,0,0,0,0,0,2,0,Unspecified,Unspecified,,,,4491584,Sedan,Sedan,,,
1/2/2022,17:00,,,40.751858,-73.82637,"(40.751858, -73.82637)",MAIN STREET,,,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,4491503,E-Bike,,,,
1/2/2022,4:43,,,40.585056,-73.928894,"(40.585056, -73.928894)",BELT PARKWAY,,,0,0,0,0,0,0,0,0,Pavement Slippery,,,,,4491377,Sedan,,,,
1/2/2022,4:50,STATEN ISLAND,10312,40.538334,-74.15956,"(40.538334, -74.15956)",RICHMOND AVENUE,KOCH BOULEVARD,,0,0,0,0,0,0,0,0,Unsafe Speed,Unspecified,,,,4491678,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
1/2/2022,17:04,,,40.584137,-73.96386,"(40.584137, -73.96386)",BELT PARKWAY,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4491778,Station Wagon/Sport Utility Vehicle,Sedan,,,
