datetime,AGG. ASSAULT,ARSON,AUTO THEFT,BURGLARY,COMMON ASSAULT,HOMICIDE,LARCENY,LARCENY FROM AUTO,RAPE,ROBBERY - CARJACKING,ROBBERY - COMMERCIAL,ROBBERY - RESIDENCE,ROBBERY - STREET,SHOOTING
2014-01-28,6,0,7,19,20,1,20,8,1,1,2,3,6,1
2014-01-29,9,0,12,23,15,0,22,9,0,0,3,1,7,1
2014-01-30,11,0,11,17,21,4,38,21,1,0,3,4,9,2
2014-01-31,17,1,11,16,24,1,28,20,0,0,1,2,7,2
2014-02-01,7,0,14,17,16,0,42,14,1,0,2,1,7,0
2014-02-02,12,0,9,12,30,0,25,9,0,0,5,0,10,0
2014-02-03,12,0,4,10,21,0,27,13,1,0,7,1,10,1
2014-02-04,8,1,9,22,19,0,27,15,0,0,1,0,11,0
2014-02-05,5,0,10,17,13,1,27,20,1,0,0,0,5,1
2014-02-06,6,1,6,13,17,1,33,10,1,0,0,1,8,0
2014-02-07,8,2,17,22,19,0,28,13,0,0,2,1,8,2
2014-02-08,12,1,13,16,20,0,27,13,0,0,2,0,5,1
2014-02-09,11,0,9,11,15,1,16,10,0,2,0,0,3,0
2014-02-10,8,1,15,18,14,1,25,9,1,0,1,1,9,0
2014-02-11,10,0,10,17,17,2,29,13,0,0,2,0,3,0
2014-02-12,6,0,10,20,12,0,28,18,0,0,3,1,3,0
2014-02-13,8,1,9,1,10,0,11,0,1,0,0,2,3,0
2014-02-14,11,1,4,11,10,0,21,6,0,1,0,2,9,0
2014-02-15,9,0,5,12,25,0,19,20,1,0,2,2,7,0
2014-02-16,4,0,15,14,12,0,19,9,0,2,1,0,5,0
2014-02-17,4,0,14,14,16,0,27,11,1,1,0,0,3,0
2014-02-18,10,0,3,14,19,0,18,19,1,0,1,0,6,0
2014-02-19,11,0,7,11,19,0,25,14,1,0,0,1,6,0
2014-02-20,9,0,8,15,19,0,32,15,1,1,2,3,8,1
2014-02-21,14,1,15,16,26,1,34,20,0,0,2,0,9,0
2014-02-22,11,0,4,10,22,0,41,17,0,0,2,0,2,0
2014-02-23,9,1,4,5,17,1,26,15,0,0,2,1,3,1
2014-02-24,9,0,8,14,22,1,28,10,0,0,1,3,6,0
2014-02-25,12,0,11,15,29,1,24,17,0,0,1,0,7,0
2014-02-26,15,0,9,16,22,0,15,12,0,0,1,2,8,2
2014-02-27,5,0,4,16,25,0,22,15,1,0,0,3,12,0
2014-02-28,10,0,10,20,22,0,33,20,2,0,0,1,6,0
2014-03-01,15,0,11,18,22,1,29,12,3,1,0,3,7,2
2014-03-02,12,0,4,5,29,0,16,12,0,0,4,1,0,1
2014-03-03,9,0,5,8,11,0,10,10,0,0,0,1,2,0
2014-03-04,16,0,10,13,23,0,22,9,0,0,0,0,4,0
2014-03-05,7,1,9,20,20,0,24,14,0,0,2,0,6,0
2014-03-06,13,0,9,15,22,0,24,16,0,0,1,2,6,0
2014-03-07,8,0,10,10,22,1,39,12,0,1,2,0,5,0
2014-03-08,13,0,9,15,19,1,25,17,1,1,0,0,6,0
2014-03-09,14,0,9,13,14,0,14,11,1,0,1,4,6,1
2014-03-10,13,0,9,20,25,0,38,15,2,0,2,0,3,1
2014-03-11,9,0,9,23,27,0,27,8,0,1,2,1,4,0
2014-03-12,17,0,4,18,15,0,22,8,1,0,0,0,8,1
2014-03-13,7,0,10,15,22,0,31,10,1,0,0,4,2,0
2014-03-14,18,0,9,23,32,1,38,14,2,0,3,3,9,2
2014-03-15,18,0,10,12,27,0,52,23,1,2,0,1,5,1
2014-03-16,10,0,5,7,20,0,23,15,0,0,0,2,5,1
2014-03-17,9,0,7,12,16,0,16,12,3,0,1,1,4,1
2014-03-18,11,0,8,17,26,0,23,17,0,0,1,1,3,0
2014-03-19,14,0,10,13,14,0,29,6,0,0,1,1,6,0
2014-03-20,19,0,5,14,16,0,20,18,1,0,1,3,2,0
2014-03-21,9,0,9,18,28,0,21,17,1,1,0,0,2,0
2014-03-22,18,1,12,19,18,0,15,30,1,1,0,2,2,0
2014-03-23,15,1,6,8,16,0,24,28,3,0,1,1,5,0
2014-03-24,11,0,10,19,36,0,32,12,0,0,3,1,6,1
2014-03-25,12,0,10,22,18,1,34,15,1,0,3,0,3,2
2014-03-26,12,0,7,12,17,0,25,22,1,0,1,0,2,0
2014-03-27,20,1,11,18,26,1,38,10,1,1,3,0,10,1
2014-03-28,10,1,14,13,23,0,27,23,1,1,3,0,4,2
2014-03-29,7,0,11,12,19,0,21,13,1,1,1,1,4,0
2014-03-30,9,1,12,7,19,0,26,12,0,2,2,0,2,0
2014-03-31,10,0,9,14,30,1,47,13,2,0,1,0,10,4
2014-04-01,16,0,8,19,21,0,41,12,2,0,0,0,4,1
2014-04-02,11,0,9,16,19,0,46,11,2,0,0,0,3,0
2014-04-03,14,1,8,16,20,1,30,21,0,0,0,0,7,0
2014-04-04,14,0,12,18,29,1,37,19,0,0,0,0,8,0
2014-04-05,15,0,11,10,22,0,28,18,1,0,1,3,6,1
2014-04-06,13,1,12,5,26,1,24,9,1,0,0,1,4,1
2014-04-07,9,1,11,14,24,0,32,15,1,1,0,0,4,0
2014-04-08,8,1,13,19,25,1,29,14,2,0,1,1,5,0
2014-04-09,11,0,8,15,25,0,42,16,0,0,5,0,6,1
2014-04-10,9,0,11,13,20,0,29,24,1,1,0,0,5,1
2014-04-11,14,1,10,18,18,0,34,14,0,0,0,0,5,0
2014-04-12,9,0,7,18,27,0,38,14,0,0,1,0,6,0
2014-04-13,19,2,17,11,33,0,24,12,1,1,0,1,7,3
2014-04-14,13,1,10,21,19,1,43,19,1,1,1,2,9,1
2014-04-15,12,0,8,20,13,1,39,11,0,3,1,0,1,0
2014-04-16,15,1,12,21,15,1,29,12,1,0,0,0,8,0
2014-04-17,13,0,9,13,21,1,34,27,0,0,2,1,6,1
2014-04-18,13,0,10,16,21,1,34,14,0,1,3,2,4,1
2014-04-19,17,4,5,12,25,0,33,13,0,0,1,0,8,1
2014-04-20,19,1,4,11,28,0,31,15,1,0,0,1,5,2
2014-04-21,14,1,11,17,19,0,31,18,1,0,0,1,5,1
2014-04-22,12,3,9,25,23,1,22,21,0,0,2,0,4,0
2014-04-23,14,0,6,27,25,0,37,24,0,0,1,2,3,0
2014-04-24,16,0,8,18,25,0,24,21,0,1,1,2,7,1
2014-04-25,15,0,16,22,27,0,33,12,0,0,0,1,10,1
2014-04-26,15,1,10,13,27,0,46,14,0,0,1,3,3,1
2014-04-27,21,2,12,15,38,2,30,10,1,1,1,3,4,3
2014-04-28,15,2,11,26,24,0,39,14,1,0,1,2,8,1
2014-04-29,8,0,12,12,26,0,28,18,2,0,1,1,9,0
2014-04-30,6,0,10,12,20,0,32,16,0,0,4,2,7,1
2014-05-01,12,1,11,16,24,0,41,14,0,0,1,0,11,1
2014-05-02,15,0,10,25,22,0,32,13,1,0,1,1,6,1
2014-05-03,13,0,4,15,24,3,24,17,0,0,2,1,7,1
2014-05-04,11,2,5,13,22,0,40,18,1,0,1,1,8,0
2014-05-05,14,0,7,18,25,1,39,16,0,0,3,1,4,4
2014-05-06,13,1,8,24,27,1,35,15,1,1,0,1,9,1
2014-05-07,13,2,15,18,25,1,34,12,1,1,1,2,8,0
2014-05-08,7,1,9,25,24,0,35,22,1,1,1,2,2,1
2014-05-09,17,0,9,27,19,1,39,19,1,2,0,0,11,1
2014-05-10,12,0,12,13,28,0,27,12,0,0,2,2,6,0
2014-05-11,16,1,11,16,25,2,21,18,0,0,1,1,11,0
2014-05-12,14,1,16,22,20,1,26,16,1,0,3,1,9,1
2014-05-13,17,0,8,16,20,0,29,26,0,0,2,1,10,0
2014-05-14,12,0,9,32,26,0,33,18,0,1,1,0,5,1
2014-05-15,13,0,15,21,30,1,36,26,0,0,0,3,4,0
2014-05-16,14,1,16,23,18,1,43,23,0,1,0,1,2,3
2014-05-17,21,2,16,15,36,1,45,18,0,0,2,1,4,5
2014-05-18,10,0,10,17,25,0,27,17,1,0,0,0,11,0
2014-05-19,8,1,9,16,21,0,52,16,1,0,2,0,8,1
2014-05-20,16,1,9,24,23,0,50,19,1,1,2,2,3,0
2014-05-21,20,0,10,16,18,2,25,18,1,1,5,2,9,4
2014-05-22,19,0,7,27,25,1,30,32,0,0,2,0,13,4
2014-05-23,16,2,6,25,25,1,43,16,0,0,1,0,7,2
2014-05-24,18,1,10,10,17,1,32,20,2,0,1,1,10,0
2014-05-25,15,1,16,18,21,0,27,21,2,0,3,0,4,0
2014-05-26,20,1,11,12,30,1,18,18,3,0,2,1,3,2
2014-05-27,20,4,8,20,24,2,33,18,3,0,1,1,8,0
2014-05-28,9,0,8,17,18,0,35,17,0,2,6,0,13,3
2014-05-29,8,1,6,22,18,0,34,12,0,1,4,2,5,1
2014-05-30,13,0,14,23,19,0,34,12,1,0,1,0,7,1
2014-05-31,14,2,10,14,18,2,25,26,1,0,3,0,10,0
2014-06-01,12,1,10,11,13,2,32,22,3,0,2,2,6,0
2014-06-02,13,0,9,21,29,2,37,14,0,0,1,4,13,4
2014-06-03,11,1,8,26,23,2,24,15,0,0,2,0,8,0
2014-06-04,7,1,14,21,23,0,49,12,1,1,2,0,11,0
2014-06-05,12,0,8,15,27,0,32,17,0,2,0,2,6,0
2014-06-06,10,0,10,19,29,1,37,18,1,0,2,2,3,1
2014-06-07,9,0,5,12,31,1,33,22,1,0,2,0,3,0
2014-06-08,19,1,12,19,19,2,35,10,1,0,3,5,8,2
2014-06-09,11,0,9,20,29,0,39,26,0,1,1,2,9,1
2014-06-10,13,0,7,19,21,0,32,10,0,1,3,0,5,1
2014-06-11,8,1,13,20,23,0,34,15,2,1,0,0,8,0
2014-06-12,15,1,11,29,24,0,29,10,0,0,0,0,8,1
2014-06-13,13,0,4,18,17,0,33,19,1,0,2,1,8,0
2014-06-14,19,2,12,18,24,1,41,16,1,2,2,0,8,0
2014-06-15,16,0,12,13,32,0,32,30,0,0,0,0,10,4
2014-06-16,13,1,11,17,22,1,44,31,1,0,0,0,6,2
2014-06-17,10,1,12,17,23,0,32,19,0,0,0,0,8,1
2014-06-18,9,0,16,14,18,0,36,23,0,1,2,4,4,0
2014-06-19,7,0,12,34,17,0,26,20,0,0,4,1,11,2
2014-06-20,5,0,12,24,21,0,46,21,1,1,3,0,17,0
2014-06-21,9,0,12,17,18,2,29,30,1,0,4,1,7,0
2014-06-22,7,0,11,14,27,0,24,13,0,0,1,0,4,1
2014-06-23,20,2,6,26,21,0,33,27,1,0,1,0,2,1
2014-06-24,19,0,17,16,25,0,29,36,1,0,6,2,7,3
2014-06-25,10,0,15,18,14,0,37,24,1,0,1,1,4,2
2014-06-26,5,0,18,24,20,1,29,19,1,0,0,3,6,1
2014-06-27,7,1,8,27,22,1,36,25,1,1,1,2,11,0
2014-06-28,14,0,15,23,27,0,40,23,0,0,5,4,8,0
2014-06-29,15,1,12,12,12,3,24,33,0,1,0,0,7,1
2014-06-30,7,0,8,16,14,0,30,24,0,0,2,4,8,3
2014-07-01,27,0,12,31,21,1,31,18,1,1,2,2,3,2
2014-07-02,11,0,11,19,22,0,22,18,2,0,0,1,10,2
2014-07-03,8,2,9,33,12,0,34,17,0,1,1,0,2,1
2014-07-04,10,1,9,16,23,2,19,16,1,0,1,4,9,0
2014-07-05,16,0,1,17,21,3,34,18,0,0,1,3,8,4
2014-07-06,7,2,17,17,25,0,31,27,3,0,3,2,5,1
2014-07-07,10,1,13,24,21,0,32,24,0,1,1,0,8,1
2014-07-08,11,0,13,14,10,1,35,27,0,0,1,0,9,1
2014-07-09,9,0,16,22,18,0,39,25,1,1,1,1,9,0
2014-07-10,10,2,12,21,29,0,32,22,1,1,4,0,1,0
2014-07-11,16,1,16,23,18,0,31,22,0,0,0,1,8,1
2014-07-12,12,0,10,18,21,0,40,16,1,0,2,0,9,1
2014-07-13,13,0,16,13,22,0,26,29,1,0,0,3,5,0
2014-07-14,8,0,10,29,24,0,29,27,0,0,1,1,7,2
2014-07-15,11,0,18,26,14,1,27,22,1,0,3,1,7,1
2014-07-16,6,0,14,24,17,4,35,31,0,0,1,1,8,0
2014-07-17,13,0,16,17,19,3,31,25,1,0,1,1,1,1
2014-07-18,18,1,9,18,19,0,40,19,0,0,1,3,0,2
2014-07-19,13,0,10,16,36,0,25,18,0,0,0,1,8,0
2014-07-20,15,3,10,15,20,1,44,30,0,0,1,2,12,0
2014-07-21,18,2,10,24,17,0,46,16,1,0,2,0,8,1
2014-07-22,16,0,15,23,19,0,37,12,0,0,2,2,5,1
2014-07-23,10,0,14,16,22,1,28,32,0,1,1,0,2,4
2014-07-24,12,2,9,29,20,0,38,25,0,0,3,0,6,1
2014-07-25,10,0,16,27,13,0,40,27,1,0,2,0,13,4
2014-07-26,11,2,9,21,19,1,30,33,0,0,1,3,5,1
2014-07-27,15,0,5,15,26,0,36,28,1,1,2,7,11,4
2014-07-28,9,1,6,15,12,0,29,21,0,0,2,0,5,1
2014-07-29,17,0,14,18,17,0,43,18,0,0,0,2,6,3
2014-07-30,14,1,8,18,14,1,47,20,0,0,1,1,6,5
2014-07-31,13,2,10,16,22,2,27,29,0,0,0,1,5,4
2014-08-01,23,2,14,27,20,2,55,17,2,0,3,3,7,6
2014-08-02,17,0,6,13,18,0,27,23,0,1,1,1,4,0
2014-08-03,15,0,15,16,22,1,32,19,0,0,1,2,4,3
2014-08-04,11,1,6,22,18,0,38,18,1,0,3,1,6,1
2014-08-05,6,1,9,15,17,1,34,18,1,0,2,0,10,1
2014-08-06,10,1,10,16,23,0,36,30,2,0,3,4,8,0
2014-08-07,14,0,8,16,19,1,33,26,2,1,4,2,6,1
2014-08-08,12,0,10,19,24,0,50,18,1,1,2,0,7,4
2014-08-09,9,0,15,17,20,3,20,15,1,0,0,1,2,1
2014-08-10,16,1,14,20,24,1,29,34,1,2,3,4,8,0
2014-08-11,19,2,11,25,17,3,50,23,0,0,0,4,9,3
2014-08-12,6,0,11,14,11,0,19,15,1,0,2,2,5,1
2014-08-13,11,0,7,21,21,0,28,22,0,0,2,1,8,2
2014-08-14,10,1,11,24,12,0,44,33,0,0,3,2,4,1
2014-08-15,4,0,12,32,27,1,41,28,1,0,3,3,10,0
2014-08-16,12,1,9,12,24,1,30,14,0,0,2,0,5,0
2014-08-17,14,1,10,12,15,0,30,15,3,2,0,2,11,1
2014-08-18,10,0,8,23,15,0,39,19,3,1,1,2,18,3
2014-08-19,12,0,19,23,9,0,36,27,0,0,4,1,7,1
2014-08-20,13,0,12,13,17,2,43,26,0,0,1,0,9,0
2014-08-21,10,1,13,16,15,1,24,21,0,1,0,2,5,1
2014-08-22,5,0,7,14,16,2,27,31,0,0,3,2,15,2
2014-08-23,14,0,8,29,19,0,29,13,0,1,2,0,13,3
2014-08-24,13,2,10,10,11,3,23,21,1,0,1,2,5,1
2014-08-25,15,0,11,19,31,0,34,22,0,2,5,1,14,0
2014-08-26,8,3,10,19,19,1,37,15,1,0,1,1,14,2
2014-08-27,14,2,9,21,13,1,37,16,0,2,1,2,13,3
2014-08-28,12,1,10,20,21,0,28,16,1,2,1,0,6,1
2014-08-29,11,1,6,20,25,1,53,17,1,0,1,1,11,0
2014-08-30,10,0,10,18,18,0,25,18,0,0,3,2,8,0
2014-08-31,22,0,11,9,27,1,26,23,0,1,2,0,5,5
2014-09-01,20,0,7,27,41,2,32,23,2,1,1,0,14,1
2014-09-02,17,0,8,14,26,1,41,25,0,1,0,5,11,1
2014-09-03,12,0,10,17,17,2,26,15,1,2,0,0,12,1
2014-09-04,10,0,11,21,24,0,36,18,3,2,1,2,11,1
2014-09-05,18,0,10,24,24,0,39,22,0,0,2,0,6,0
2014-09-06,13,0,12,19,20,1,33,28,1,0,1,1,10,3
2014-09-07,13,0,8,17,31,0,29,21,0,0,4,0,4,0
2014-09-08,7,2,11,20,15,0,34,17,0,0,2,3,9,0
2014-09-09,12,1,8,22,21,0,34,14,0,1,4,0,2,1
2014-09-10,15,0,9,17,21,0,42,24,0,0,4,2,5,2
2014-09-11,6,0,14,20,16,1,40,23,2,0,2,0,8,1
2014-09-12,24,1,7,26,15,0,47,14,0,0,0,0,10,2
2014-09-13,8,1,3,14,19,0,32,18,0,0,2,1,5,2
2014-09-14,5,1,12,16,31,0,28,13,2,1,0,1,4,1
2014-09-15,10,1,4,27,12,0,41,15,0,0,4,0,6,1
2014-09-16,11,0,12,18,17,0,38,12,0,1,4,2,6,1
2014-09-17,9,0,9,17,25,0,42,18,0,0,0,0,8,0
2014-09-18,17,0,8,19,27,2,48,23,2,0,1,2,13,0
2014-09-19,10,0,5,32,21,0,33,14,0,0,2,0,3,0
2014-09-20,16,0,10,25,19,1,27,24,2,0,4,0,7,1
2014-09-21,14,1,8,9,28,2,35,30,0,0,4,2,7,0
2014-09-22,7,1,7,28,15,1,41,20,1,0,0,7,25,1
2014-09-23,8,1,14,21,32,2,34,13,0,1,6,1,12,0
2014-09-24,15,0,12,16,17,0,22,17,0,0,0,1,19,1
2014-09-25,11,7,7,18,15,1,26,21,0,1,3,0,10,2
2014-09-26,13,0,13,13,23,1,41,20,0,1,0,2,9,1
2014-09-27,14,0,12,28,21,0,38,15,2,0,3,0,5,1
2014-09-28,11,0,13,19,19,1,47,13,0,0,0,1,4,0
2014-09-29,13,1,13,28,23,0,44,21,0,0,3,6,9,1
2014-09-30,15,0,4,20,24,1,43,12,2,0,3,0,7,1
2014-10-01,8,0,5,23,21,1,30,23,2,0,1,0,7,1
2014-10-02,13,0,7,15,18,0,30,19,0,0,0,0,12,0
2014-10-03,10,1,12,21,24,0,32,29,0,0,7,4,11,0
2014-10-04,20,0,8,13,29,1,34,17,4,2,4,3,7,2
2014-10-05,17,2,12,16,15,1,26,17,0,0,3,2,8,1
2014-10-06,10,0,7,22,18,1,21,14,1,0,0,3,9,1
2014-10-07,7,2,4,23,19,3,35,25,0,0,3,2,10,2
2014-10-08,4,2,15,17,18,0,32,17,0,0,3,4,7,0
2014-10-09,10,0,12,18,24,2,28,14,0,0,1,1,16,2
2014-10-10,9,1,12,31,20,2,36,22,1,0,1,1,8,1
2014-10-11,12,0,9,15,21,1,19,20,0,4,0,1,11,1
2014-10-12,13,0,12,26,21,0,37,22,0,0,3,2,7,2
2014-10-13,13,2,8,21,27,0,36,17,1,0,3,1,10,0
2014-10-14,13,0,13,27,18,0,28,27,0,0,3,2,7,2
2014-10-15,9,1,11,26,19,1,28,10,0,0,9,3,8,1
2014-10-16,8,1,7,24,28,0,25,28,1,2,1,1,10,1
2014-10-17,13,0,6,24,18,0,30,28,1,0,7,3,7,1
2014-10-18,16,0,11,20,24,0,27,21,0,1,2,0,12,0
2014-10-19,8,2,11,17,13,0,30,24,0,0,1,1,3,0
2014-10-20,5,1,9,20,16,0,39,21,1,0,1,3,19,1
2014-10-21,18,0,8,18,20,0,27,19,0,0,1,0,12,0
2014-10-22,8,0,13,27,18,1,34,42,1,0,2,1,8,1
2014-10-23,13,1,6,27,19,1,28,24,0,2,4,1,12,2
2014-10-24,11,1,15,24,26,0,34,20,0,0,7,0,12,0
2014-10-25,12,4,11,21,23,1,28,21,0,2,6,0,5,3
2014-10-26,10,1,9,28,17,0,28,31,2,0,0,2,4,2
2014-10-27,15,0,3,31,18,0,30,27,1,0,1,1,6,1
2014-10-28,13,2,13,16,16,1,42,26,2,0,0,0,12,0
2014-10-29,4,0,14,30,20,1,46,21,0,0,2,1,9,2
2014-10-30,9,0,13,24,19,0,39,22,2,0,3,4,14,1
2014-10-31,9,0,12,36,25,1,32,27,1,0,1,1,6,0
2014-11-01,24,0,12,22,18,1,31,9,2,0,1,1,5,0
2014-11-02,13,0,14,19,14,1,25,20,1,0,4,0,5,1
2014-11-03,12,0,11,16,12,1,28,23,1,0,5,1,7,0
2014-11-04,13,1,13,16,14,0,26,9,1,0,1,2,4,2
2014-11-05,16,1,8,25,15,1,26,24,0,0,1,1,13,2
2014-11-06,12,0,11,24,19,0,23,21,0,1,2,1,7,1
2014-11-07,11,2,4,25,16,0,39,26,0,1,1,4,11,1
2014-11-08,13,0,11,15,22,0,24,11,2,0,0,0,7,4
2014-11-09,9,1,11,14,24,1,24,27,0,4,2,1,8,0
2014-11-10,7,1,13,29,14,2,31,18,1,1,1,1,5,0
2014-11-11,14,2,10,26,24,0,35,7,1,0,2,3,13,1
2014-11-12,10,1,13,17,21,0,29,20,0,0,1,1,12,4
2014-11-13,7,0,9,14,22,0,30,20,0,1,2,1,12,0
2014-11-14,12,1,12,24,25,0,25,8,0,1,3,1,12,2
2014-11-15,16,0,8,14,20,0,33,15,0,1,5,1,6,1
2014-11-16,14,3,11,10,22,0,12,15,0,1,1,0,3,0
2014-11-17,7,0,9,17,16,0,29,20,0,0,2,1,7,1
2014-11-18,7,0,11,21,24,1,50,18,1,0,2,1,4,0
2014-11-19,12,2,8,19,17,2,29,17,1,0,2,2,6,0
2014-11-20,8,0,8,28,9,1,32,12,1,2,2,0,6,1
2014-11-21,14,1,14,28,22,0,29,12,0,0,2,1,12,0
2014-11-22,15,1,13,13,21,0,33,26,1,0,4,2,9,2
2014-11-23,14,3,11,22,25,0,12,25,1,0,0,2,7,1
2014-11-24,13,0,12,28,20,0,31,28,1,0,0,3,21,1
2014-11-25,13,0,9,16,23,1,26,14,0,1,0,2,8,1
2014-11-26,11,0,10,39,10,0,28,18,0,1,1,0,8,4
2014-11-27,8,1,1,16,10,0,20,15,0,1,2,3,9,1
2014-11-28,11,3,11,16,19,0,36,18,1,0,1,2,8,0
2014-11-29,9,2,7,21,16,0,28,17,1,3,5,0,7,1
2014-11-30,13,0,12,13,21,1,27,15,2,0,2,0,9,0
2014-12-01,20,0,8,29,19,2,50,17,0,1,1,4,16,5
2014-12-02,8,0,7,21,10,1,32,13,2,1,2,4,7,1
2014-12-03,18,0,7,16,23,0,24,21,2,0,1,4,8,1
2014-12-04,1,0,9,20,23,0,40,16,0,1,2,0,6,0
2014-12-05,6,0,10,40,20,0,25,20,0,0,0,0,11,0
2014-12-06,10,0,8,13,17,0,29,17,0,1,2,0,2,1
2014-12-07,11,0,8,10,19,1,25,17,0,0,2,2,5,0
2014-12-08,12,0,8,20,23,0,38,20,1,1,3,2,11,0
2014-12-09,13,2,9,24,14,1,24,12,0,0,3,1,5,2
2014-12-10,7,0,5,31,11,0,25,19,1,3,2,0,9,1
2014-12-11,15,0,9,12,12,0,31,20,0,1,1,1,13,2
2014-12-12,13,0,5,27,24,0,32,20,2,0,1,1,18,1
2014-12-13,10,0,10,15,19,0,20,28,1,1,0,0,9,2
2014-12-14,10,2,8,13,22,2,21,26,3,0,6,6,5,1
2014-12-15,9,1,5,20,14,0,39,16,0,0,8,0,10,0
2014-12-16,6,0,10,25,14,1,29,32,0,2,0,0,11,2
2014-12-17,8,0,12,30,18,0,29,14,0,0,3,1,7,1
2014-12-18,8,0,10,28,9,0,37,19,0,0,2,1,5,0
2014-12-19,8,1,8,21,13,0,40,21,0,2,1,0,12,1
2014-12-20,18,0,17,22,12,2,26,18,0,1,3,2,6,2
2014-12-21,8,0,7,14,21,0,18,22,1,1,3,0,5,0
2014-12-22,9,1,7,31,16,1,46,36,1,0,3,1,2,1
2014-12-23,12,0,10,24,17,0,26,14,0,1,1,1,10,2
2014-12-24,6,0,23,20,16,0,34,9,0,1,6,0,5,1
2014-12-25,9,0,8,9,21,1,15,12,0,1,1,0,6,0
2014-12-26,5,1,3,10,11,0,19,16,0,0,4,2,5,0
2014-12-27,6,0,8,11,18,0,28,23,1,2,1,0,7,2
2014-12-28,17,0,13,9,26,1,18,22,0,0,1,1,7,2
2014-12-29,7,0,9,16,10,0,16,12,3,1,7,2,14,1
2014-12-30,11,0,6,21,11,1,26,18,0,2,3,2,9,1
2014-12-31,9,0,6,26,11,1,37,12,0,0,1,0,6,0
2015-01-01,19,1,15,24,28,0,39,17,3,1,1,2,9,2
2015-01-02,3,0,9,22,7,0,32,12,1,1,5,6,10,0
2015-01-03,8,2,10,10,11,3,11,9,0,0,0,2,7,1
2015-01-04,6,0,11,5,15,2,20,22,0,1,2,1,11,0
2015-01-05,7,0,10,22,15,1,32,24,1,1,2,4,3,0
2015-01-06,7,1,14,5,11,0,30,9,0,0,4,2,3,1
2015-01-07,11,1,11,19,13,0,32,11,0,1,2,0,5,2
2015-01-08,4,2,8,13,12,0,23,10,0,1,1,0,9,1
2015-01-09,10,1,6,19,13,2,29,12,2,1,0,1,6,2
2015-01-10,5,0,15,10,18,1,23,7,0,0,1,0,4,0
2015-01-11,10,0,6,14,19,0,20,13,1,0,2,1,6,0
2015-01-12,23,0,13,21,19,1,26,10,1,1,2,1,7,1
2015-01-13,8,0,15,17,17,0,44,19,1,1,3,1,8,1
2015-01-14,10,1,13,25,14,0,37,17,1,1,3,0,4,1
2015-01-15,5,1,15,24,18,0,44,22,0,0,4,1,8,0
2015-01-16,10,0,5,33,17,0,36,20,0,0,2,1,4,2
2015-01-17,17,1,9,13,15,1,27,32,1,0,5,0,3,4
2015-01-18,11,0,10,21,8,2,21,21,1,0,7,5,4,0
2015-01-19,15,1,15,23,12,0,29,24,0,4,3,2,11,2
2015-01-20,8,1,8,30,9,0,33,17,1,1,1,1,10,1
2015-01-21,10,0,13,22,19,0,30,15,0,2,6,1,5,0
2015-01-22,8,0,6,16,20,0,31,26,0,1,1,0,5,1
2015-01-23,9,1,16,25,19,0,35,17,0,1,5,4,6,2
2015-01-24,9,2,13,19,21,1,24,22,0,1,5,1,5,0
2015-01-25,10,0,11,16,15,1,18,10,0,0,1,2,4,0
2015-01-26,18,0,7,19,12,1,28,15,0,0,4,2,5,2
